domain,arm,n_roi,K,tp_sum,delivered_sum,precision_pooled,precision_worst_roi,worst_roi_file
canine lung cancer,od_falloff,2,20,7,40,0.175,0.15,201.tiff
canine lung cancer,od_falloff,2,30,10,60,0.1667,0.1333,201.tiff
canine lung cancer,od_falloff,2,50,16,100,0.16,0.12,201.tiff
canine lung cancer,tm_score,2,10,6,20,0.3,0.3,201.tiff
canine lung cancer,tm_score,2,20,10,40,0.25,0.25,201.tiff
canine lung cancer,tm_score,2,30,14,60,0.2333,0.2,201.tiff
canine lung cancer,tm_score,2,50,19,100,0.19,0.16,233.tiff
canine lymphosarcoma,chromatin_od,2,10,12,20,0.6,0.2,245.tiff
canine lymphosarcoma,chromatin_od,2,20,22,40,0.55,0.15,245.tiff
canine lymphosarcoma,chromatin_od,2,30,28,60,0.4667,0.2,245.tiff
canine lymphosarcoma,chromatin_od,2,50,39,100,0.39,0.14,245.tiff
canine lymphosarcoma,mask_od_mean,2,10,3,20,0.15,0.1,245.tiff
canine lymphosarcoma,mask_od_mean,2,20,10,40,0.25,0.2,245.tiff
canine lymphosarcoma,mask_od_mean,2,30,19,60,0.3167,0.2,245.tiff
canine lymphosarcoma,mask_od_mean,2,50,33,100,0.33,0.2,245.tiff
canine lymphosarcoma,od31,2,10,9,20,0.45,0.0,245.tiff
canine lymphosarcoma,od31,2,20,18,40,0.45,0.05,245.tiff
canine lymphosarcoma,od31,2,30,29,60,0.4833,0.1667,245.tiff
canine lymphosarcoma,od31,2,50,43,100,0.43,0.18,245.tiff
canine lymphosarcoma,od_contrast,2,10,11,20,0.55,0.1,245.tiff
canine lymphosarcoma,od_contrast,2,20,22,40,0.55,0.15,245.tiff
canine lymphosarcoma,od_contrast,2,30,27,60,0.45,0.1,245.tiff
canine lymphosarcoma,od_contrast,2,50,39,100,0.39,0.14,245.tiff
canine lymphosarcoma,od_falloff,2,10,7,20,0.35,0.0,245.tiff
canine lymphosarcoma,od_falloff,2,20,16,40,0.4,0.05,245.tiff
canine lymphosarcoma,od_falloff,2,30,24,60,0.4,0.0667,245.tiff
canine lymphosarcoma,od_falloff,2,50,39,100,0.39,0.16,245.tiff
canine lymphosarcoma,tm_score,2,10,11,20,0.55,0.1,245.tiff
canine lymphosarcoma,tm_score,2,20,20,40,0.5,0.1,245.tiff
canine lymphosarcoma,tm_score,2,30,27,60,0.45,0.1,245.tiff
canine lymphosarcoma,tm_score,2,50,34,100,0.34,0.06,245.tiff
canine soft tissue sarcoma,chromatin_od,2,10,16,20,0.8,0.7,460.tiff
canine soft tissue sarcoma,chromatin_od,2,20,29,40,0.725,0.6,460.tiff
canine soft tissue sarcoma,chromatin_od,2,30,41,60,0.6833,0.5333,460.tiff
canine soft tissue sarcoma,chromatin_od,2,50,60,100,0.6,0.4,460.tiff
canine soft tissue sarcoma,mask_od_mean,2,10,5,20,0.25,0.2,460.tiff
canine soft tissue sarcoma,mask_od_mean,2,20,14,40,0.35,0.3,460.tiff
canine soft tissue sarcoma,mask_od_mean,2,30,22,60,0.3667,0.3333,460.tiff
canine soft tissue sarcoma,mask_od_mean,2,50,34,100,0.34,0.3,460.tiff
canine soft tissue sarcoma,od31,2,10,13,20,0.65,0.6,459.tiff
canine soft tissue sarcoma,od31,2,20,19,40,0.475,0.45,460.tiff
canine soft tissue sarcoma,od31,2,30,26,60,0.4333,0.3667,460.tiff
canine soft tissue sarcoma,od31,2,50,42,100,0.42,0.32,460.tiff
canine soft tissue sarcoma,od_contrast,2,10,17,20,0.85,0.7,459.tiff
canine soft tissue sarcoma,od_contrast,2,20,29,40,0.725,0.7,460.tiff
canine soft tissue sarcoma,od_contrast,2,30,37,60,0.6167,0.5,460.tiff
canine soft tissue sarcoma,od_contrast,2,50,50,100,0.5,0.34,460.tiff
canine soft tissue sarcoma,od_falloff,2,10,3,20,0.15,0.1,459.tiff
canine soft tissue sarcoma,od_falloff,2,20,7,40,0.175,0.15,459.tiff
canine soft tissue sarcoma,od_falloff,2,30,8,60,0.1333,0.1333,459.tiff
canine soft tissue sarcoma,od_falloff,2,50,10,100,0.1,0.08,459.tiff
canine soft tissue sarcoma,tm_score,2,10,13,20,0.65,0.6,459.tiff
canine soft tissue sarcoma,tm_score,2,20,21,40,0.525,0.5,460.tiff
canine soft tissue sarcoma,tm_score,2,30,31,60,0.5167,0.4,460.tiff
canine soft tissue sarcoma,tm_score,2,50,41,100,0.41,0.3,460.tiff
human breast cancer,chromatin_od,2,10,10,20,0.5,0.5,013.tiff
human breast cancer,chromatin_od,2,20,24,40,0.6,0.45,013.tiff
human breast cancer,chromatin_od,2,30,32,60,0.5333,0.4,013.tiff
human breast cancer,chromatin_od,2,50,45,100,0.45,0.26,013.tiff
human breast cancer,mask_od_mean,2,10,7,20,0.35,0.3,094.tiff
human breast cancer,mask_od_mean,2,20,14,40,0.35,0.3,013.tiff
human breast cancer,mask_od_mean,2,30,20,60,0.3333,0.2,013.tiff
human breast cancer,mask_od_mean,2,50,32,100,0.32,0.2,013.tiff
human breast cancer,od31,2,10,10,20,0.5,0.5,013.tiff
human breast cancer,od31,2,20,20,40,0.5,0.4,013.tiff
human breast cancer,od31,2,30,31,60,0.5167,0.3667,013.tiff
human breast cancer,od31,2,50,46,100,0.46,0.26,013.tiff
human breast cancer,od_contrast,2,10,9,20,0.45,0.4,013.tiff
human breast cancer,od_contrast,2,20,23,40,0.575,0.4,013.tiff
human breast cancer,od_contrast,2,30,32,60,0.5333,0.3333,013.tiff
human breast cancer,od_contrast,2,50,45,100,0.45,0.26,013.tiff
human breast cancer,od_falloff,2,10,6,20,0.3,0.1,013.tiff
human breast cancer,od_falloff,2,20,13,40,0.325,0.15,013.tiff
human breast cancer,od_falloff,2,30,18,60,0.3,0.1667,013.tiff
human breast cancer,od_falloff,2,50,28,100,0.28,0.14,013.tiff
human breast cancer,tm_score,2,10,7,20,0.35,0.3,013.tiff
human breast cancer,tm_score,2,20,14,40,0.35,0.2,013.tiff
human breast cancer,tm_score,2,30,22,60,0.3667,0.2,013.tiff
human breast cancer,tm_score,2,50,28,100,0.28,0.12,013.tiff
human melanoma,chromatin_od,2,10,14,20,0.7,0.6,529.tiff
human melanoma,chromatin_od,2,20,25,40,0.625,0.45,529.tiff
human melanoma,chromatin_od,2,30,33,60,0.55,0.3667,529.tiff
human melanoma,chromatin_od,2,50,49,100,0.49,0.22,529.tiff
human melanoma,mask_od_mean,2,10,7,20,0.35,0.2,548.tiff
human melanoma,mask_od_mean,2,20,14,40,0.35,0.3,548.tiff
human melanoma,mask_od_mean,2,30,21,60,0.35,0.3333,529.tiff
human melanoma,mask_od_mean,2,50,32,100,0.32,0.24,529.tiff
human melanoma,od31,2,10,10,20,0.5,0.5,529.tiff
human melanoma,od31,2,20,25,40,0.625,0.5,529.tiff
human melanoma,od31,2,30,34,60,0.5667,0.4,529.tiff
human melanoma,od31,2,50,43,100,0.43,0.24,529.tiff
human melanoma,od_contrast,2,10,15,20,0.75,0.6,529.tiff
human melanoma,od_contrast,2,20,29,40,0.725,0.6,529.tiff
human melanoma,od_contrast,2,30,36,60,0.6,0.4,529.tiff
human melanoma,od_contrast,2,50,53,100,0.53,0.24,529.tiff
human melanoma,od_falloff,2,10,6,20,0.3,0.2,548.tiff
human melanoma,od_falloff,2,20,12,40,0.3,0.2,529.tiff
human melanoma,od_falloff,2,30,19,60,0.3167,0.1667,529.tiff
human melanoma,od_falloff,2,50,27,100,0.27,0.12,529.tiff
human melanoma,tm_score,2,10,8,20,0.4,0.3,529.tiff
human melanoma,tm_score,2,20,14,40,0.35,0.2,529.tiff
human melanoma,tm_score,2,30,20,60,0.3333,0.1333,529.tiff
human melanoma,tm_score,2,50,34,100,0.34,0.12,529.tiff
human neuroendocrine tumor,chromatin_od,2,10,12,20,0.6,0.5,403.tiff
human neuroendocrine tumor,chromatin_od,2,20,23,40,0.575,0.55,402.tiff
human neuroendocrine tumor,chromatin_od,2,30,30,60,0.5,0.4667,403.tiff
human neuroendocrine tumor,chromatin_od,2,50,45,100,0.45,0.44,403.tiff
human neuroendocrine tumor,mask_od_mean,2,10,11,20,0.55,0.5,402.tiff
human neuroendocrine tumor,mask_od_mean,2,20,18,40,0.45,0.45,402.tiff
human neuroendocrine tumor,mask_od_mean,2,30,29,60,0.4833,0.4333,402.tiff
human neuroendocrine tumor,mask_od_mean,2,50,44,100,0.44,0.42,402.tiff
human neuroendocrine tumor,od31,2,10,10,20,0.5,0.5,402.tiff
human neuroendocrine tumor,od31,2,20,20,40,0.5,0.5,402.tiff
human neuroendocrine tumor,od31,2,30,29,60,0.4833,0.4333,402.tiff
human neuroendocrine tumor,od31,2,50,42,100,0.42,0.4,403.tiff
human neuroendocrine tumor,od_contrast,2,10,10,20,0.5,0.4,402.tiff
human neuroendocrine tumor,od_contrast,2,20,21,40,0.525,0.45,402.tiff
human neuroendocrine tumor,od_contrast,2,30,31,60,0.5167,0.5,403.tiff
human neuroendocrine tumor,od_contrast,2,50,44,100,0.44,0.34,403.tiff
human neuroendocrine tumor,od_falloff,2,10,2,20,0.1,0.0,403.tiff
human neuroendocrine tumor,od_falloff,2,20,5,40,0.125,0.0,403.tiff
human neuroendocrine tumor,od_falloff,2,30,7,60,0.1167,0.0333,403.tiff
human neuroendocrine tumor,od_falloff,2,50,12,100,0.12,0.02,403.tiff
human neuroendocrine tumor,tm_score,2,10,9,20,0.45,0.4,402.tiff
human neuroendocrine tumor,tm_score,2,20,16,40,0.4,0.35,403.tiff
human neuroendocrine tumor,tm_score,2,30,22,60,0.3667,0.2667,403.tiff
human neuroendocrine tumor,tm_score,2,50,37,100,0.37,0.3,403.tiff
